id,facility_name,imagfe,addr,latit,longit,station,station_wt,bus,bus_wt
1,(취약시설)강북청소년센터,,서울특별시 강북구 4.19로 74(수유동),37.64598909,127.0064058,4.19민주묘지(2),750,강북청소년수련관,20
2,(취약시설)구로청소년센터수영장,,서울특별시 구로구 구로동로 141(구로동),37.4913197,126.883399,남구로(6),680,구로시장.남구로시장입구,59
3,(취약시설)성북청소년센터수영장,,서울특별시 성북구 한천로 660-9(장위동),37.61763856,127.0557322,돌곶이(4),978,우리랜드사우나,112
4,(취약시설)일자산제1체육관,,서울특별시 강동구 동남로 660 (둔촌동),37.53301918,127.1513579,중앙보훈병원(2),329,일자산입구,123
5,50+남부캠퍼스수영장,,서울특별시 구로구 오류로 36-25 (천왕동),37.4884251,126.841846,천왕(3),352,오류2동주민센터,232
6,[10]동양미래대학교 앞 농구장,,서울특별시 구로구 안양천로537길 72 (고척동),37.49993866,126.8705242,구일(1),810,동양미래대학.구로성심병원,364
7,[24]인라인스케이트장 우측,,서울특별시 구로구 서울특별시 구로구 개봉동 376-3,37.48347071,126.8540064,개봉(1),1456,한진APT후문,118
8,[25]인라인스케이트장 좌측(지압코스 내부),,"서울특별시 구로구 개봉로1길 118 (개봉동, 에코그로브)",37.48214799,126.8523092,,,개명초교,38
9,가양레포츠센터,,서울특별시 강서구 양천로61길 101 (가양동),37.55996148,126.8655601,증미(2),478,가양도시개발9단지.세현고등학교,225
10,가양레포츠센터 내 축구장,,서울특별시 강서구 양천로61길 101 (가양동),37.55955163,126.864933,,,,
11,가좌다목적구장,,서울 서대문구 홍은동 산 26-170,37.58258531,126.9298433,,,팔각정,53
12,가좌테니스장,,서울특별시 서대문구 홍은동 산26-170,37.58181641,126.9307814,,,서대문문화체육회관,88
13,갈월종합사회복지관수영장,,서울특별시 용산구 두텁바위로 25 (갈월동),37.54577435,126.9748244,숙대입구(2),211,남영동주민센터,59
14,감로천게이트볼장,,서울 금천구 독산동 373,37.46961506,126.9079139,,,,
15,감로천배드민턴장,,서울특별시 금천구 독산로54길 180 (독산동),37.46949251,126.9089487,,,,
16,강남구민체육관,,서울특별시 강남구 개포로28길 47 (개포동),37.47711586,127.0518861,매봉(1),,국악중고교,222
17,강남구민회관 체육교실,,서울특별시 강남구 삼성로 154 (대치동),37.49388799,127.0642724,,,,
18,강남세곡체육공원,,서울특별시 강남구 헌릉로 679 (세곡동),37.46678301,127.113143,,,세곡동,535
19,강남스포츠문화센터골프연습장,,강남구 수서동718,37.48897406,127.1053388,수서(3),362,강남스포츠문화센터,116
20,강남스포츠문화센터수영장,,서울특별시 강남구 밤고개로1길 52 (수서동),37.48897316,127.1053399,수서(3),362,강남스포츠문화센터,116
21,강남스포츠문화센터체육관,,서울특별시 강남구 밤고개로1길 52 (수서동),37.48900105,127.1052808,수서(3),362,강남스포츠문화센터,116
22,강동청소년회관수영장,,서울특별시 강동구 양재대로 1634 (명일동),37.55126175,127.1443451,,,,
23,강북웰빙스포츠센터,,서울특별시 강북구 오현로31길 51 (번동),37.63045708,127.0377699,,,강북보건소.번2동주민센터,71
24,강서개화축구장,,인천 계양구 하야동 27-1,37.57791654,126.7889298,,,,
25,강서구민올림픽체육센터,,서울특별시 강서구 화곡로65길 62 (등촌동),37.55968893,126.85057,,,,
26,강서구민올림픽체육센터수영장,,등촌동 707-3,37.55968758,126.8505711,가양(10),398,강서구민올림픽체육센터,18
27,강서다목적체육관,,서울특별시 강서구 등촌로13자길 20 (화곡동),37.53970488,126.855852,,,,
28,강일테니스장,,서울특별시 강동구 선사로 185-118 (암사동),37.56292189,127.1298499,암사(4),1857,암사IC,591
29,개운산스포츠센터,,서울특별시 성북구 북악산로 949-60 (종암동),37.59686703,127.0262388,안암(1),1720,성북구의회,293
30,개운산스포츠센터수영장,,서울특별시 성북구 북악산로 949-60 (종암동),37.59686412,127.0263296,,,,
31,개웅산생활체육관,,서울특별시 구로구 개봉로3길 108-20 (개봉동),37.485307,126.8497243,오류동(1),1839,개봉한진아파트.기점,210
32,거성체련장,,서울특별시 영등포구 선유로 191 (양평동3가),37.53067416,126.8924711,영등포구청(3),870,거성파스텔아파트,155
33,게이트볼장,,서울특별시 중구 서울특별시 중구 청구동 842-1,37.55562233,127.0138117,약수(3),374,약수역3번출구.약수하이츠,242
34,계남근린공원테니스장,,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",37.51149094,126.8502917,신정네거리(1),1069,정랑고개.양천벤처타운,12
35,고덕어울림수영장,,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",37.55744052,127.1696789,상일동(5),158,상일동역4번출구.고덕전통시장,91
36,고척근린공원운동장,,고척2동산9-14,37.50593211,126.8520083,,,고척근린공원.고척도서관,322
37,공덕동 체육시설,,서울특별시 마포구 공덕동 3-53,37.55076957,126.9617272,애오개(4),800,만리동고개,196
38,공릉동다목적체육시설,,"서울특별시 노원구 화랑로51길 17 (공릉동, 화랑타운아파트)",37.62307724,127.0893655,화랑대(4),828,경춘선숲길.화랑대역공원,260
39,공릉동미니골프장,,서울특별시 노원구 화랑로 822 (공릉동),37.62072792,127.0863361,화랑대(4),272,화랑대사거리,361
40,공릉배수지 축구장,,서울특별시 노원구 중계로 36 (공릉동),37.6387805,127.083239,,,불암산종합스타디움,31
41,공항동문화체육센터수영장,,서울특별시 강서구 송정로 45 (공항동),37.55878245,126.8100731,송정(4),302,공항동주민센터,3
42,관악구민운동장,,서울특별시 관악구 낙성대로 40 (봉천동),37.47512341,126.9574562,낙성대(4),992,낙성대현대아파트,354
43,관악구민종합체육센터,,서울특별시 관악구 낙성대로3길 37 (봉천동),37.47306649,126.9603153,낙성대(4),610,낙성대공원.영어마을,165
44,관악청소년센터수영장,,서울특별시 관악구 신림로23길 17 (신림동),37.4702439,126.9352433,,,관악농협신림지점앞,154
45,광장동 실내 배드민턴장,,서울특별시 광진구 서울특별시 광진구 천호대로140길 40,37.54442627,127.100198,광나루(1),447,광남고.삼성아파트,332
46,광진구민체육센터,,서울특별시 광진구 구천면로 14 (광장동),37.54599901,127.1068221,광나루(2),286,광진청소년수련관,62
47,광진문화예술회관 골프연습장,,서울특별시 광진구 능동로 76 (자양동),37.53757126,127.0705762,건대입구(5),325,건대역,79
48,구로구민생활체육관,,서울특별시 구로구 새말로18길 31 (구로동),37.50523014,126.8928062,신도림(2),361,신도림역,164
49,구로구민체육센터,,서울특별시 구로구 고척로45길 39 (고척동),37.50658124,126.8532759,개봉(2),1584,구민체육관후문,91
50,구로실내게이트볼장,,서울특별시 구로구 새말로18길 17 (구로동),37.50577805,126.8929049,신도림(2),332,신도림역,135
51,구립테니스장,,방화동 36-14 일대,37.58378125,126.8156478,방화(4),1673,생태공원,572
52,구민올림픽체육센터골프연습장,,서울특별시 강서구 화곡로65길 62 (등촌동),37.55966958,126.8505847,가양(10),398,강서구민올림픽체육센터,18
53,구일역 게이트볼장,,서울특별시 구로구 서울특별시 구로구 구로동  642-71,37.4930981,126.8703344,구일(1),563,1호선구일역,723
54,구일역하부 인라인스케이트장,,서울특별시 구로구 구일로 90-133 (구로동),37.49309684,126.8703336,구일(1),563,1호선구일역,723
55,국사봉체육관,,서울특별시 관악구 국회단지길 144 (봉천동),37.49187891,126.9414304,봉천(4),1356,국사봉,9
56,궁동종합사회복지관수영장,,서울특별시 구로구 오리로22길 5 (궁동),37.49913351,126.8295624,,,,
57,궁동체육관,,서울특별시 서대문구 연희로11마길 86-47 (연희동),37.57130206,126.9252807,,,서대문지역자활센터,152
58,궁산다목적체육관,,서울특별시 강서구 양천로49길 106 (마곡동),37.57266746,126.8383649,,,,
59,금나래문화체육센터,,서울특별시 금천구 시흥대로79길 32 (독산동),37.45893811,126.8961135,금천구청(1),477,롯데캐슬1차동문,97
60,금천구민문화체육센터,,서울특별시 금천구 독산로54길 188 (독산동),37.47006899,126.9073405,,,구민문화체육센터,11
61,금천구민문화체육센터수영장,,금천구 독산4동371-2,37.47013912,126.9072627,,,구민문화체육센터,11
62,김일기념체육관,,서울특별시 종로구 종로1.2.3.4가동,37.581305,126.994385,,,,
63,까치산체육센터,,서울특별시 관악구 행운10길 23 (봉천동),37.48197062,126.9624721,낙성대(5),718,낙성대입구,487
64,꿩고개근린공원 게이트볼장,,서울 강서구 방화동 산 110,37.58011653,126.8159761,,,,
65,낙산배드민턴장,,서울특별시 종로구 이화동,37.579935,127.008593,,,,
66,난지 한강공원 물놀이장,,서울 마포구 상암동 482-182,37.56406002,126.8793995,,,,
67,남서울게이트볼장,,서울 금천구 시흥동 1026-2,37.44826433,126.9021036,,,,
68,남영동 실외체육시설,,서울 용산구 한강로1가 1-5,37.5398215,126.9714978,,,,
69,내곡동체육시설,,서울특별시 서초구 내곡동,37.458632,127.08208,,,,
70,내곡동체육시설,,서울특별시 서초구 신흥말길 23-5 (내곡동),37.4584842,127.0822385,,,신흥마을입구,88
71,내촌어린이공원 농구장,,서울 강서구 개화동 551-26,37.5775714,126.8014079,,,,
72,노고산동 체육시설,,서울특별시 마포구 노고산7길 49(노고산동25-1),37.55282045,126.9093151,망원(2),470,성산초등학교,124
