facility_id,phone,website,in_out,op_hour,fee,shower,parking
1,,,실내,,,False,False
2,,,없음,,,False,False
3,,,없음,,,False,False
4,,,실내,,,False,False
5,02-2066-1515,,실내,,,False,False
6,02-860-2023,,,,,False,False
7,02-860-2023,,,,,False,False
8,02-860-2023,,,,,False,False
9,02-3662-9081,gssi.or.kr,실내,,,False,False
10,02-3662-9081,,실외,,,False,False
11,02-330-1129,,실외,,,False,False
12,02-330-1411,,실외,,,False,False
13,,,실내,,,False,False
14,02-2627-1427,,,,,False,False
15,02-2627-1427,,,,,False,False
16,02-2176-0810,,실내,,,False,False
17,02-2176-0892,,실내,,,False,False
18,02-2176-0845,,실외,,,False,False
19,02-2176-0815,http//life.gangnam.go.kr,실내,,,False,False
20,02-1760-8013,http//life.gangnam.go.kr,실내,,,False,False
21,02-2176-0810,http//life.gnagnam.go.kr,실내,,,False,False
22,02-2133-4119,,실내,,,False,False
23,02-944-2914,http://www.gangbukcmc.seoul.kr/index.php,실내외,,,False,False
24,02-2600-6666,,실외,,,False,False
25,02-3661-1999,http://www.gssi.or.kr/,없음,,,False,False
26,02-3661-1999,http://www.gssi.or.kr/,실내,,,False,False
27,02-3662-9082,,실외,,,False,False
28,02-2045-7872,,실외,,,False,False
29,02-925-9960,https://www.gongden.go.kr/port,실내외,,,False,False
30,02-925-9960,gongdan.go.kr,실내,,,False,False
31,02-1899-6828,https://www.gurosisul.or.kr/mod.asp?m=business=b02-1=2,실내,,,False,False
32,02-2670-3761,,,,,False,False
33,,,,,,False,False
34,02-860-3087,https://yeyak.seoul.go.kr,실내외,,,False,False
35,02-2045-7630,,실내,,,False,False
36,,https://www.guro.go.kr/health/healthy_life/exercise_establishment/park_brook/gocheok_park.jsp,실외,,,False,False
37,,,,,,False,False
38,,,실내외,,,False,False
39,,,실내외,,,False,False
40,,,실내외,,,False,False
41,02-2666-9003,http://www.gssi.or.kr,실내외,,,False,False
42,,www.gwanakgongdan.or.kr,실외,,,False,False
43,02-870-7620,,실내외,,,False,False
44,02-870-0636,,실내,,,False,False
45,,,,,,False,False
46,02-2049-4800,http://gumin.gwangjin.or.kr/,없음,,,False,False
47,02-2049-4578,http://gjart.gwangjin.or.kr/,없음,,,False,False
48,02-858-5150,,실내,,,False,False
49,02-2681-9595,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,실내,,,False,False
50,02-8600-3320,,실내,,,False,False
51,02-2600-6579,,실외,,,False,False
52,02-3661-1999,,없음,,,False,False
53,02-860-2023,,,,,False,False
54,02-860-2022,,실외,,,False,False
55,02-2081-2690,,,,,False,False
56,02-860-3067,,실내외,,,False,False
57,02-330-1411,,없음,,,False,False
58,02-2607-9023,,실내,,,False,False
59,02-805-7678,,실내,,,False,False
60,02-861-1313,http://www.gfmc.kr/business2_01.html,없음,,,False,False
61,02-861-1313,http://www.gfmc.kr/business2_01.html,실내,,,False,False
62,061-830-6506,,,,,False,False
63,02-870-7690,https://www.gwanakgongdan.or.kr,실내,,,False,False
64,02-2600-4187,,,,,False,False
65,02-2148-1892,,,,,False,False
66,02-3780-0847,https://hangang.seoul.go.kr/www/contents/774.do?mid=505,실외,,,False,False
67,,,,,,False,False
68,02-2199-7564,,실외,,,False,False
69,02-2155-6752,,,,,False,False
70,02-2155-8714,,실외,,,False,False
71,,,,,,False,False
72,,,,,,False,False
73,,,,,,False,False
74,02-817-2070,,실외,,,False,False
75,,,,,,False,False
76,,,,,,False,False
77,,,실내외,,,False,False
78,,,,,,False,False
79,,,실내,,,False,False
80,02-860-2023,,실외,,,False,False
81,02-860-2023,,실외,,,False,False
82,02-860-2023,,실외,,,False,False
83,02-2148-1892,,,,,False,False
84,02-2091-3753,,실외,,,False,False
85,,,,,,False,False
86,02-2670-1106,,,,,False,False
87,,,,,,False,False
88,,,,,,False,False
89,02-2670-3858,,,,,False,False
90,02-2670-3760,,,,,False,False
91,02-2091-2364,,,,,False,False
92,02-901-5170,https://www.dobongsiseol.or.kr/swim/,실내,,,False,False
93,02-901-5122,https://www.dobongsiseol.or.kr/index_msport.html,실내,,,False,False
94,,,,,,False,False
95,02-2627-1427,,,,,False,False
96,02-2627-1655,,,,,False,False
97,02-869-7577,http://soccer.gfmc.kr/,실내,,,False,False
98,02-853-9271,,실내,,,False,False
99,02-855-8649,http://soccer.gfmc.kr/,실외,,,False,False
100,02-2247-9611,,없음,,,False,False
101,,www.ddmgongdan.or.kr,실내,,,False,False
102,02-6929-0959,,실내,,,False,False
103,070-8824-4478,ddmy.or.kr,실내,,,False,False
104,02-849-0100,www.idongjak.or.kr,실내,,,False,False
105,02-535-3341,,없음,,,False,False
106,,http://sports.idongjak.or.kr/,실외,,,False,False
107,02-3780-0847,https://hangang.seoul.go.kr/www/contents/774.do?mid=505,실외,,,False,False
108,,http://seoulforest.or.kr/,실외,,,False,False
109,02-3663-7171,www.gssi.or.kr,실내,,,False,False
110,02-3663-7171,,실내,,,False,False
111,,,실외,,,False,False
112,,,,,,False,False
113,,,실내외,,,False,False
114,02-2204-7640,,실외,,,False,False
115,02-443-0100,www.mcyouth.or.kr,실내,,,False,False
116,02-3153-9856,www.maposports.or.kr,실내외,,,False,False
117,,,,,,False,False
118,02-2627-1427,,,,,False,False
119,02-2155-6860,,,,,False,False
120,,,,,,False,False
121,02-3153-9872,,,,,False,False
122,02-332-7199,https://mapogym.or.kr/,없음,,,False,False
123,02-3153-9856,,없음,,,False,False
124,,,,,,False,False
125,,,,,,False,False
126,,,,,,False,False
127,,,,,,False,False
128,02-2176-0885,,실내,,,False,False
129,02-2094-1862,,실내,,,False,False
130,02-3422-4350,,실외,,,False,False
131,02-860-2023,,실외,,,False,False
132,02-860-2023,,실외,,,False,False
133,02-2649-8454,www.mdicerink.co.kr,실내,,,False,False
134,02-6738-9607,,실내,,,False,False
135,,sisul.yangchon.seoul.kr,실외,,,False,False
136,02-2148-1892,,,,,False,False
137,02-2148-1892,,,,,False,False
138,02-949-6464,,실내,,,False,False
139,02-2167-0100,,실내,,,False,False
140,02-2081-2640,https://www.gwanakgongdan.or.kr/,실내,,,False,False
141,02-901-6226,,,,,False,False
142,02-2627-1428,,,,,False,False
143,02-2627-1428,,,,,False,False
144,031-593-1330,,,,,False,False
145,02-2155-6773,,,,,False,False
146,02-2155-6224,,실외,,,False,False
147,02-2155-7712,,,,,False,False
148,02-535-2601,,실내외,,,False,False
