facility_id,sport_id
46,1
4,2
16,3
16,2
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
21,10
21,13
21,11
21,4
21,3
21,2
21,14
21,9
21,8
21,15
21,5
21,7
21,12
23,2
23,16
23,17
29,18
29,19
29,4
29,5
29,12
29,10
29,9
29,11
29,20
31,11
31,4
31,8
31,21
31,9
43,11
43,22
43,5
43,3
43,18
43,2
43,10
43,6
43,15
43,23
43,9
43,24
43,25
43,20
43,16
43,26
43,4
43,12
43,27
43,8
43,7
49,8
49,26
49,24
49,21
49,15
49,18
49,10
49,9
49,6
49,11
49,27
49,4
49,19
49,23
49,12
49,16
60,15
60,11
60,16
60,28
60,8
60,29
60,10
60,9
60,5
60,3
60,2
60,4
60,25
60,12
60,30
60,27
60,1
60,31
77,2
77,15
77,32
77,5
77,11
77,12
77,10
77,17
77,9
77,3
77,16
77,25
77,26
77,4
79,4
79,18
79,9
79,27
79,17
79,3
79,33
79,20
79,10
79,16
79,31
79,26
79,15
79,8
79,5
79,11
93,3
93,12
93,9
93,5
93,2
93,27
93,10
93,4
93,17
93,16
93,24
93,11
104,15
104,25
104,16
104,31
104,10
104,2
104,4
104,1
104,12
104,11
104,9
104,21
104,24
104,8
104,7
104,5
104,34
104,35
104,3
104,36
116,11
116,5
116,12
116,10
116,4
116,34
116,2
116,3
116,9
116,37
116,38
116,16
116,39
116,24
116,14
134,15
134,24
134,20
134,4
134,2
134,16
134,37
134,8
134,10
134,11
134,5
134,17
134,9
134,26
134,31
153,38
153,21
153,11
153,10
153,27
153,9
153,2
153,16
153,12
153,29
153,15
153,4
153,3
178,36
178,26
178,38
178,27
178,17
178,11
178,8
178,18
178,16
178,2
178,4
178,6
178,10
178,20
178,9
178,40
178,12
178,5
178,19
178,31
198,41
198,4
198,10
198,6
198,9
199,26
199,4
199,39
199,3
199,42
199,16
200,11
200,20
200,38
200,7
200,26
200,27
200,22
200,10
200,8
200,5
200,12
200,31
200,24
200,4
200,3
179,18
179,19
219,15
219,1
219,9
219,12
219,4
219,21
219,18
219,19
219,8
219,10
219,24
219,5
219,6
219,11
219,31
221,9
221,11
221,4
221,24
221,5
221,8
221,40
221,10
221,12
221,27
221,21
271,7
271,12
271,37
271,23
271,11
271,43
271,6
271,36
271,4
271,9
271,27
271,16
271,8
271,24
271,44
271,10
271,5
271,2
271,38
281,23
281,15
281,12
281,40
281,10
281,11
281,9
281,29
281,8
281,6
281,27
281,7
281,17
281,1
281,5
281,16
281,20
281,4
281,26
281,3
282,43
282,9
282,23
282,10
282,11
282,21
282,16
282,4
282,40
282,6
282,12
282,34
282,27
282,31
282,5
282,8
282,3
282,42
291,2
294,5
294,1
294,16
294,12
294,11
294,23
294,26
294,18
294,19
294,3
294,33
294,9
294,6
294,10
294,27
294,8
294,2
294,42
294,4
294,45
294,25
299,8
299,26
299,9
299,37
299,31
299,13
299,27
299,10
299,6
299,38
299,16
299,4
299,11
299,24
299,46
299,3
299,2
299,44
299,20
299,12
196,9
196,12
196,33
196,37
196,11
196,10
196,5
196,4
196,27
306,10
306,15
306,16
306,4
306,18
306,2
306,9
306,6
306,11
306,3
306,24
307,9
307,8
307,24
307,11
307,10
307,5
307,20
307,12
307,38
307,16
307,31
307,47
307,37
307,3
307,27
308,16
308,2
308,18
308,31
311,18
311,38
311,6
311,27
311,9
311,11
311,25
311,19
311,26
311,31
311,45
311,17
311,24
311,10
311,12
313,18
313,3
313,15
313,5
313,24
313,12
313,21
313,9
313,11
313,38
313,19
313,1
313,16
313,4
313,32
313,2
313,45
313,31
313,7
313,8
313,10
313,44
323,5
323,16
323,22
323,15
323,9
323,11
323,6
323,34
323,10
323,21
323,44
323,3
323,23
323,37
323,31
323,27
323,32
323,12
323,4
323,2
323,1
323,45
323,7
323,24
323,8
326,30
326,12
326,8
326,15
326,9
326,16
326,11
326,10
326,6
326,48
347,1
347,9
347,5
347,4
347,12
347,11
347,10
347,15
349,9
349,11
349,8
349,23
349,26
349,20
349,4
349,6
349,27
349,12
349,10
349,13
350,48
350,2
350,4
350,44
350,42
350,3
350,13
350,9
350,16
350,11
350,5
350,26
350,12
350,10
350,27
350,6
350,38
352,9
352,11
352,34
352,6
352,31
352,27
352,24
352,5
352,18
352,12
352,16
352,3
352,10
352,4
352,2
352,33
352,17
352,37
380,2
403,9
423,21
423,15
423,9
423,3
423,29
423,12
423,38
423,5
423,11
423,20
423,2
423,4
423,16
423,10
423,31
