facility_id,subfacility_id,program_name,program_day,program_cap,program_time
46,1,[특화]토요 스크린골프 14시,토,4,
46,1,[특화]토요 스크린골프 13시,토,4,
46,1,[특화]토요 스크린골프 11시,토,4,
46,1,[특화]토요 스크린골프 10시,토,4,
46,1,[특화]스크린골프 21-B,화목,4,
46,1,[특화]스크린골프 21-A,월수금,4,
46,1,[특화]스크린골프 20-B,화목,4,
46,1,[특화]스크린골프 10-A,월수금,4,
46,1,[특화]스크린골프 20-A,월수금,4,
46,1,[특화]스크린골프 19-B,화목,4,
46,1,[특화]스크린골프 19-A,월수금,4,
46,1,[특화]스크린골프 17-B,화목,3,
46,1,[특화]스크린골프 17-A,월수금,3,
46,1,[특화]스크린골프 16-B,화목,3,
46,1,[특화]스크린골프 16-A,월수금,3,
46,1,[특화]스크린골프 15-B,화목,3,
46,1,[특화]스크린골프 15-A,월수금,3,
46,1,[특화]스크린골프 14-B,화목,3,
46,1,[특화]스크린골프 14-A,월수금,3,
46,1,[특화]스크린골프 13-B,화목,3,
46,1,[특화]스크린골프 13-A,월수금,3,
46,1,[특화]스크린골프 11-B,화목,4,
46,1,[특화]스크린골프 11-A,월수금,4,
46,2,골프 17-B,화목,3,
46,2,골프 19-A,월수금,5,
46,2,골프 19-B,화목,5,
46,2,골프 20-A,월수금,5,
46,2,골프 20-B,화목,5,
46,2,골프 21-A,월수금,5,
46,2,골프 21-B,화목,5,
46,2,토요골프 10시,토,3,
46,2,토요골프 11시,토,3,
46,2,토요골프 14시,토,3,
46,2,토요골프 15시,토,3,
46,2,토요골프 16시,토,3,
46,2,토요골프 13시,토,3,
46,1,[특화]스크린골프 10-B,화목,4,
46,2,골프 17-A,월수금,3,
46,2,골프 16-B,화목,3,
46,2,골프 16-A,월수금,3,
46,2,골프 15-B,화목,3,
46,2,골프 15-A,월수금,3,
46,2,골프 14-B,화목,3,
46,2,골프 14-A,월수금,3,
46,2,골프 13-B,화목,3,
46,2,골프 13-A,월수금,3,
46,2,골프 11-B,화목,5,
46,2,골프 11-A,월수금,5,
46,2,골프 10-B,화목,5,
46,2,골프 10-A,월수금,5,
46,2,골프 09-B,화목,5,
46,2,골프 09-A,월수금,5,
46,2,골프 08-B,화목,5,
46,2,골프 08-A,월수금,5,
46,2,골프 07-B,화목,5,
46,2,골프 07-A,월수금,5,
46,2,골프 06-B,화목,5,
46,2,골프 06-A,월수금,5,
46,1,[특화]스크린골프 08-A,월수금,4,
46,1,[특화]스크린골프 08-B,화목,4,
46,1,[특화]스크린골프 09-A,월수금,4,
46,1,[특화]스크린골프 06-A,월수금,4,
46,1,[특화]스크린골프 06-B,화목,4,
46,1,[특화]스크린골프 07-A,월수금,4,
46,1,[특화]스크린골프 07-B,화목,4,
46,1,[특화]토요 스크린골프 16시,토,4,
46,1,[특화]토요 스크린골프 15시,토,4,
46,1,[특화]스크린골프 09-B,화목,4,
46,2,골프 17-B,화목,3,
46,1,[특화]스크린골프 20-B,화목,4,
46,1,[특화]스크린골프 21-A,월수금,4,
46,1,[특화]스크린골프 21-B,화목,4,
46,1,[특화]토요 스크린골프 10시,토,4,
46,2,골프 07-A,월수금,5,
46,2,토요골프 11시,토,3,
46,2,토요골프 16시,토,3,
46,2,토요골프 15시,토,3,
46,2,토요골프 14시,토,3,
46,2,토요골프 13시,토,3,
46,2,토요골프 10시,토,3,
46,2,골프 21-B,화목,5,
46,1,[특화]토요 스크린골프 11시,토,4,
46,2,골프 21-A,월수금,5,
46,2,골프 20-B,화목,5,
46,2,골프 20-A,월수금,5,
46,2,골프 19-B,화목,5,
46,2,골프 19-A,월수금,5,
46,2,골프 17-A,월수금,3,
46,2,골프 16-B,화목,3,
46,1,[특화]스크린골프 17-B,화목,3,
46,1,[특화]토요 스크린골프 13시,토,4,
46,1,[특화]토요 스크린골프 14시,토,4,
46,1,[특화]토요 스크린골프 15시,토,4,
46,1,[특화]토요 스크린골프 16시,토,4,
46,1,[특화]스크린골프 08-B,화목,4,
46,1,[특화]스크린골프 09-A,월수금,4,
46,1,[특화]스크린골프 09-B,화목,4,
46,1,[특화]스크린골프 10-A,월수금,4,
46,1,[특화]스크린골프 10-B,화목,4,
46,1,[특화]스크린골프 11-A,월수금,4,
46,1,[특화]스크린골프 11-B,화목,4,
46,1,[특화]스크린골프 13-A,월수금,3,
46,1,[특화]스크린골프 13-B,화목,3,
46,1,[특화]스크린골프 14-A,월수금,3,
46,1,[특화]스크린골프 08-A,월수금,4,
46,1,[특화]스크린골프 15-A,월수금,3,
46,2,골프 07-B,화목,5,
46,2,골프 08-A,월수금,5,
46,1,[특화]스크린골프 15-B,화목,3,
46,1,[특화]스크린골프 16-A,월수금,3,
46,1,[특화]스크린골프 16-B,화목,3,
46,1,[특화]스크린골프 17-A,월수금,3,
46,2,골프 08-B,화목,5,
46,2,골프 09-A,월수금,5,
46,2,골프 09-B,화목,5,
46,2,골프 10-A,월수금,5,
46,2,골프 10-B,화목,5,
46,2,골프 11-A,월수금,5,
46,2,골프 11-B,화목,5,
46,2,골프 13-A,월수금,3,
46,2,골프 13-B,화목,3,
46,2,골프 14-A,월수금,3,
46,2,골프 14-B,화목,3,
46,2,골프 15-A,월수금,3,
46,2,골프 15-B,화목,3,
46,2,골프 06-B,화목,5,
46,2,골프 06-A,월수금,5,
46,1,[특화]스크린골프 14-B,화목,3,
46,1,[특화]스크린골프 07-B,화목,4,
46,1,[특화]스크린골프 07-A,월수금,4,
46,1,[특화]스크린골프 06-B,화목,4,
46,1,[특화]스크린골프 06-A,월수금,4,
46,1,[특화]스크린골프 19-A,월수금,4,
46,1,[특화]스크린골프 19-B,화목,4,
46,1,[특화]스크린골프 20-A,월수금,4,
46,2,골프 14-B,화목,3,
46,1,[특화]스크린골프 07-B,화목,4,
46,2,골프 14-A,월수금,3,
46,1,[특화]스크린골프 11-A,월수금,4,
46,1,[특화]스크린골프 16-A,월수금,3,
46,1,[특화]스크린골프 16-B,화목,3,
46,1,[특화]스크린골프 17-A,월수금,3,
46,1,[특화]스크린골프 17-B,화목,3,
46,1,[특화]스크린골프 19-A,월수금,4,
46,1,[특화]스크린골프 19-B,화목,4,
46,1,[특화]스크린골프 20-A,월수금,4,
46,1,[특화]스크린골프 20-B,화목,4,
46,1,[특화]스크린골프 21-A,월수금,4,
46,2,골프 13-B,화목,3,
46,1,[특화]스크린골프 21-B,화목,4,
46,1,[특화]토요 스크린골프 10시,토,4,
46,1,[특화]토요 스크린골프 11시,토,4,
46,2,골프 09-A,월수금,5,
46,1,[특화]스크린골프 11-B,화목,4,
46,1,[특화]스크린골프 15-B,화목,3,
46,1,[특화]스크린골프 13-A,월수금,3,
46,1,[특화]스크린골프 13-B,화목,3,
46,1,[특화]스크린골프 14-A,월수금,3,
46,1,[특화]스크린골프 10-A,월수금,4,
46,1,[특화]스크린골프 14-B,화목,3,
46,2,골프 08-B,화목,5,
46,1,[특화]스크린골프 08-A,월수금,4,
46,1,[특화]스크린골프 15-A,월수금,3,
46,1,[특화]스크린골프 10-B,화목,4,
46,1,[특화]스크린골프 06-A,월수금,4,
46,2,골프 09-B,화목,5,
46,2,골프 10-A,월수금,5,
46,2,골프 10-B,화목,5,
46,2,골프 11-A,월수금,5,
46,2,골프 11-B,화목,5,
46,2,골프 13-A,월수금,3,
46,2,골프 08-A,월수금,5,
46,2,골프 07-B,화목,5,
46,2,골프 07-A,월수금,5,
46,2,골프 06-B,화목,5,
46,2,골프 06-A,월수금,5,
46,2,골프 21-B,화목,5,
46,2,토요골프 10시,토,3,
46,2,토요골프 11시,토,3,
46,2,토요골프 13시,토,3,
46,2,토요골프 14시,토,3,
46,2,토요골프 15시,토,3,
46,2,골프 21-A,월수금,5,
46,1,[특화]토요 스크린골프 16시,토,4,
46,1,[특화]토요 스크린골프 15시,토,4,
46,1,[특화]토요 스크린골프 14시,토,4,
46,1,[특화]토요 스크린골프 13시,토,4,
46,2,토요골프 16시,토,3,
46,2,골프 20-A,월수금,5,
46,2,골프 20-B,화목,5,
46,2,골프 19-B,화목,5,
46,1,[특화]스크린골프 07-A,월수금,4,
46,2,골프 19-A,월수금,5,
46,1,[특화]스크린골프 08-B,화목,4,
46,2,골프 17-B,화목,3,
46,2,골프 17-A,월수금,3,
46,2,골프 16-B,화목,3,
46,2,골프 16-A,월수금,3,
46,1,[특화]스크린골프 06-B,화목,4,
46,2,골프 15-B,화목,3,
46,1,[특화]스크린골프 09-A,월수금,4,
46,2,골프 15-A,월수금,3,
46,2,골프 15-A,월수금,3,
46,1,[특화]스크린골프 06-A,월수금,4,
46,2,토요골프 16시,토,3,
46,2,토요골프 15시,토,3,
46,2,토요골프 14시,토,3,
46,2,토요골프 13시,토,3,
46,2,토요골프 11시,토,3,
46,1,[특화]스크린골프 06-B,화목,4,
46,1,[특화]스크린골프 07-A,월수금,4,
46,1,[특화]스크린골프 07-B,화목,4,
46,1,[특화]스크린골프 08-A,월수금,4,
46,1,[특화]스크린골프 08-B,화목,4,
46,1,[특화]스크린골프 09-A,월수금,4,
46,1,[특화]스크린골프 09-B,화목,4,
46,1,[특화]스크린골프 10-A,월수금,4,
46,1,[특화]스크린골프 10-B,화목,4,
46,1,[특화]스크린골프 11-A,월수금,4,
46,1,[특화]스크린골프 11-B,화목,4,
46,1,[특화]스크린골프 13-A,월수금,3,
46,1,[특화]스크린골프 13-B,화목,3,
46,1,[특화]스크린골프 14-A,월수금,3,
46,1,[특화]스크린골프 14-B,화목,3,
46,1,[특화]스크린골프 15-A,월수금,3,
46,1,[특화]스크린골프 15-B,화목,3,
46,1,[특화]스크린골프 16-A,월수금,3,
46,1,[특화]스크린골프 16-B,화목,3,
46,1,[특화]스크린골프 17-A,월수금,3,
46,1,[특화]스크린골프 17-B,화목,3,
46,1,[특화]스크린골프 19-A,월수금,4,
46,1,[특화]스크린골프 19-B,화목,4,
46,1,[특화]스크린골프 20-A,월수금,4,
46,1,[특화]스크린골프 20-B,화목,4,
46,1,[특화]스크린골프 21-A,월수금,4,
46,1,[특화]스크린골프 21-B,화목,4,
46,1,[특화]토요 스크린골프 10시,토,4,
46,1,[특화]토요 스크린골프 11시,토,4,
46,1,[특화]토요 스크린골프 13시,토,4,
46,1,[특화]토요 스크린골프 14시,토,4,
46,1,[특화]토요 스크린골프 15시,토,4,
46,1,[특화]토요 스크린골프 16시,토,4,
46,2,토요골프 10시,토,3,
46,2,골프 21-B,화목,5,
46,2,골프 21-A,월수금,5,
46,2,골프 20-B,화목,5,
46,2,골프 20-A,월수금,5,
46,2,골프 19-B,화목,5,
46,2,골프 19-A,월수금,5,
46,2,골프 17-B,화목,3,
46,2,골프 17-A,월수금,3,
46,2,골프 06-A,월수금,5,
46,2,골프 06-B,화목,5,
46,2,골프 16-B,화목,3,
46,2,골프 07-A,월수금,5,
46,2,골프 07-B,화목,5,
46,2,골프 08-A,월수금,5,
46,2,골프 08-B,화목,5,
46,2,골프 09-A,월수금,5,
46,2,골프 09-B,화목,5,
46,2,골프 10-A,월수금,5,
46,2,골프 10-B,화목,5,
46,2,골프 16-A,월수금,3,
46,2,골프 11-A,월수금,5,
46,2,골프 11-B,화목,5,
